##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	RS10252.pair1.truncated.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	70792594
Sequences flagged as poor quality	0
Sequence length	15-36
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	37.0	37.0	37.0	37.0	37.0	37.0
2	36.33732856292849	37.0	37.0	37.0	37.0	37.0
3	36.32722555695586	37.0	37.0	37.0	37.0	37.0
4	36.291919533277735	37.0	37.0	37.0	37.0	37.0
5	36.32696338263859	37.0	37.0	37.0	37.0	37.0
6	36.29849797564982	37.0	37.0	37.0	37.0	37.0
7	36.31759858947957	37.0	37.0	37.0	37.0	37.0
8	36.2927707946399	37.0	37.0	37.0	37.0	37.0
9	36.29138341787561	37.0	37.0	37.0	37.0	37.0
10	36.27203026350468	37.0	37.0	37.0	37.0	37.0
11	36.260334746315415	37.0	37.0	37.0	37.0	37.0
12	36.21146765719589	37.0	37.0	37.0	37.0	37.0
13	36.20528921429267	37.0	37.0	37.0	37.0	37.0
14	36.189862007316755	37.0	37.0	37.0	37.0	37.0
15	36.18342444126288	37.0	37.0	37.0	37.0	37.0
16	36.1691444612762	37.0	37.0	37.0	37.0	37.0
17	36.17103066065738	37.0	37.0	37.0	37.0	37.0
18	36.14637719877343	37.0	37.0	37.0	37.0	37.0
19	36.143278051893525	37.0	37.0	37.0	37.0	37.0
20	36.146157415111055	37.0	37.0	37.0	37.0	37.0
21	36.142846813567836	37.0	37.0	37.0	37.0	37.0
22	36.14310645112677	37.0	37.0	37.0	37.0	37.0
23	36.147858375738515	37.0	37.0	37.0	37.0	37.0
24	36.143848033726286	37.0	37.0	37.0	37.0	37.0
25	36.11212570362296	37.0	37.0	37.0	37.0	37.0
26	36.10101305407873	37.0	37.0	37.0	37.0	37.0
27	36.090625688784954	37.0	37.0	37.0	37.0	37.0
28	36.06353866895161	37.0	37.0	37.0	37.0	37.0
29	36.05952580916387	37.0	37.0	37.0	37.0	37.0
30	36.04244154805205	37.0	37.0	37.0	37.0	37.0
31	36.068029993404686	37.0	37.0	37.0	37.0	37.0
32	36.061281319094924	37.0	37.0	37.0	37.0	37.0
33	36.067094319565946	37.0	37.0	37.0	37.0	37.0
34	36.114505418793584	37.0	37.0	37.0	37.0	37.0
35	36.338497495914076	37.0	37.0	37.0	37.0	37.0
36	37.0	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
2101	1	0.0
2101	2	0.032905483711665795
2101	3	-0.008459313241793609
2101	4	0.008107491313545268
2101	5	0.021112307245061857
2101	6	0.037828895919780336
2101	7	0.027054710508323865
2101	8	0.06509877263328434
2101	9	0.05985813763309267
2101	10	0.05212339258135046
2101	11	0.04083714271807537
2101	12	0.025677100274840825
2101	13	0.037896406363728374
2101	14	0.030633356309145654
2101	15	0.018755228974242755
2101	16	-0.015080141413598369
2101	17	0.02195596746888384
2101	18	0.017453555120262365
2101	19	0.04159535902883249
2101	20	0.04340630321201644
2101	21	0.002822253542902331
2101	22	0.021468452610399424
2101	23	0.013254620426344843
2101	24	5.060308367745847E-4
2101	25	0.037700834897954394
2101	26	0.02972555009839084
2101	27	0.027314273159404934
2101	28	0.03058222245220321
2101	29	0.05246402316679877
2101	30	0.02177390443000604
2101	31	0.033164970162943064
2101	32	0.045744121950761496
2101	33	0.04740953118005109
2101	34	0.04386216857954395
2101	35	0.021368210168645874
2101	36	0.0
2102	1	0.0
2102	2	0.023212954087377113
2102	3	0.015958920605413596
2102	4	0.002788638038389024
2102	5	0.02242777308526911
2102	6	0.028976776981373575
2102	7	-3.6855688923509433E-4
2102	8	0.011955468720877604
2102	9	0.006247887302990307
2102	10	0.030850659354896948
2102	11	0.06498044172144546
2102	12	0.09295561424397647
2102	13	0.030867107085114753
2102	14	0.06654335888385532
2102	15	-0.006695266515464482
2102	16	0.04989436118970758
2102	17	0.007479724331282966
2102	18	-0.012112360961943125
2102	19	0.024175228649696123
2102	20	-5.552358843630145E-4
2102	21	0.003910383689330388
2102	22	0.025549176843057353
2102	23	-0.026230966568824954
2102	24	0.02552205567887711
2102	25	0.015154355855358403
2102	26	0.019845369514790434
2102	27	0.03163696202002342
2102	28	0.03720805347916922
2102	29	0.025292265360732813
2102	30	0.026545358613049075
2102	31	-0.0028126961400261052
2102	32	0.008216900794458581
2102	33	-0.006933747234000975
2102	34	0.024418719014249746
2102	35	-0.01996811083920136
2102	36	0.0
2103	1	0.0
2103	2	0.009355119962016545
2103	3	0.026835786211933055
2103	4	0.005823979642300969
2103	5	0.0290845988900017
2103	6	0.03134458476178281
2103	7	0.02724602403041132
2103	8	0.05574032947030361
2103	9	0.021320782425988227
2103	10	0.04250035711470446
2103	11	0.008976740356757773
2103	12	0.05142449246474001
2103	13	0.04852365530852154
2103	14	0.04921903178718878
2103	15	0.028101267128228358
2103	16	0.03785865716150738
2103	17	0.009108527812259126
2103	18	0.016101562577595985
2103	19	0.05852840056562769
2103	20	0.026631848152639748
2103	21	0.02423596162412167
2103	22	0.020683463598082596
2103	23	-0.0028418702571855192
2103	24	0.015719427288793497
2103	25	0.08367742194741368
2103	26	0.06040895286469805
2103	27	0.016322880509456184
2103	28	0.03645406565281206
2103	29	0.07620662000333311
2103	30	0.05823458667079251
2103	31	0.04731619469766457
2103	32	0.050386700616279256
2103	33	-0.01042207814613505
2103	34	0.0020523986109921566
2103	35	0.0038650312822667843
2103	36	0.0
2104	1	0.0
2104	2	0.0451145380142961
2104	3	0.024578553348703736
2104	4	-0.02460093228693694
2104	5	5.087882980561176E-4
2104	6	0.03930062073275309
2104	7	-0.03814021741263218
2104	8	0.029882357863669995
2104	9	0.03677590477789039
2104	10	0.06341186511964025
2104	11	0.03695580452935587
2104	12	0.0885828433628646
2104	13	0.04613336092268838
2104	14	0.04550939964885714
2104	15	0.028792260100800604
2104	16	0.07933667308879677
2104	17	-0.00464223263411867
2104	18	0.022112271863328203
2104	19	0.05970037619452029
2104	20	0.015858155039758515
2104	21	0.03828117062813163
2104	22	0.02374921765486704
2104	23	0.03275325441510546
2104	24	0.03567302177692966
2104	25	0.09492924424952776
2104	26	0.020773045326798467
2104	27	0.03377026199176214
2104	28	0.027248771445371744
2104	29	0.07282569703232156
2104	30	0.049794165304739124
2104	31	0.023048753159955027
2104	32	0.03628673381423653
2104	33	0.030845394291880268
2104	34	0.061572540977010704
2104	35	-0.02339122815657646
2104	36	0.0
2105	1	0.0
2105	2	0.054156160328020064
2105	3	0.030743612771168216
2105	4	0.03016639385141673
2105	5	0.025756509308507702
2105	6	0.033159218167647
2105	7	0.027697895136817863
2105	8	0.034581384919469826
2105	9	0.043417660515629564
2105	10	0.06824885439685602
2105	11	0.0566809431050217
2105	12	0.04702375175786955
2105	13	0.0439738844349975
2105	14	0.02729501769694309
2105	15	0.015287782870018418
2105	16	0.06185946402480624
2105	17	0.029595422202859822
2105	18	0.06382830541595297
2105	19	0.06846827113700726
2105	20	0.04332474043879131
2105	21	0.07030796823347885
2105	22	0.025569013648897965
2105	23	0.01809851847142596
2105	24	0.0423085238371641
2105	25	0.07273723077337024
2105	26	0.023769847712742376
2105	27	0.048851150393190323
2105	28	0.020785212661515118
2105	29	0.06139581377185266
2105	30	0.014684417057964083
2105	31	0.01578247387839582
2105	32	0.0100403869170691
2105	33	0.024991938799281854
2105	34	0.07698132195240959
2105	35	0.010160871383135373
2105	36	0.0
2106	1	0.0
2106	2	0.02146577047981424
2106	3	-0.017808123292851974
2106	4	0.018339923000958436
2106	5	0.019555751754332107
2106	6	0.02280102590355426
2106	7	0.012332829949947666
2106	8	0.014173074421712784
2106	9	0.05397409053276192
2106	10	0.02598790748144353
2106	11	-0.0021207567738983357
2106	12	0.01854331706874035
2106	13	0.027041356367277558
2106	14	0.009666818521893106
2106	15	0.003645346805704719
2106	16	0.03739403264710717
2106	17	0.05891763004275674
2106	18	0.004430085391142313
2106	19	0.037796148089505266
2106	20	-0.015390264152109978
2106	21	0.0515203780350717
2106	22	0.014133811408079566
2106	23	-0.024562025013651123
2106	24	-0.01863996154309433
2106	25	0.0403104021466234
2106	26	0.042144013291213867
2106	27	0.03842216334086146
2106	28	-0.004764918448401545
2106	29	0.007701965185397341
2106	30	0.022369937538670115
2106	31	0.01253806484749731
2106	32	0.029647843752620417
2106	33	-0.017259113752267297
2106	34	0.03009409055455592
2106	35	-0.0061231219264925585
2106	36	0.0
2107	1	0.0
2107	2	0.004775273527371837
2107	3	0.020550820131603587
2107	4	0.0023687530650704502
2107	5	0.0238486756229932
2107	6	0.03722556262087551
2107	7	0.04182790872790321
